Packet Capture Log
[11:35:37] 172.18.13.53 -> 224.0.0.251 | UDP | 396 bytes
[11:35:37] 172.18.13.53 -> 224.0.0.251 | UDP | 411 bytes
[11:35:37] 172.18.15.6 -> 224.0.0.251 | UDP | 176 bytes
[11:35:37] 172.18.15.116 -> 224.0.0.251 | UDP | 293 bytes
[11:35:37] 172.18.15.116 -> 224.0.0.251 | UDP | 128 bytes
[11:35:37] 172.18.15.6 -> 224.0.0.251 | UDP | 176 bytes
[11:35:37] 172.18.6.126 -> 20.89.1.8 | TCP | 172 bytes
[11:35:37] 172.18.6.126 -> 20.89.1.8 | TCP | 3541 bytes
[11:35:37] 172.18.13.35 -> 224.0.0.251 | UDP | 290 bytes
[11:35:37] 20.89.1.8 -> 172.18.6.126 | TCP | 68 bytes
[11:35:37] 172.18.14.112 -> 239.255.255.250 | UDP | 167 bytes
[11:35:37] 172.18.6.72 -> 224.0.0.251 | UDP | 423 bytes
[11:35:37] 172.18.15.6 -> 224.0.0.251 | UDP | 419 bytes
[11:35:37] 172.18.6.162 -> 224.0.0.251 | UDP | 136 bytes
[11:35:37] 172.18.6.126 -> 20.89.1.8 | TCP | 1494 bytes
[11:35:37] 172.18.15.116 -> 224.0.0.251 | UDP | 103 bytes
[11:35:37] 20.89.1.8 -> 172.18.6.126 | TCP | 56 bytes
[11:35:37] 20.89.1.8 -> 172.18.6.126 | TCP | 148 bytes
[11:35:37] 172.18.6.126 -> 172.18.13.53 | TCP | 164 bytes
[11:35:37] 172.18.6.126 -> 20.89.1.8 | TCP | 54 bytes
